team	ranking	source	year
NE	13	http://www.sportingnews.com/us/fantasy/football/news/fantasy-football-defense-rankings-2018-cheat-sheet-dst-sleepers-busts-projections-draft-strategy-draft-kit/21vdvmb334z51d1ug8ucwh3d7	2018
NO	6	http://www.sportingnews.com/us/fantasy/football/news/fantasy-football-defense-rankings-2018-cheat-sheet-dst-sleepers-busts-projections-draft-strategy-draft-kit/21vdvmb334z51d1ug8ucwh3d7	2018
NYG	23	http://www.sportingnews.com/us/fantasy/football/news/fantasy-football-defense-rankings-2018-cheat-sheet-dst-sleepers-busts-projections-draft-strategy-draft-kit/21vdvmb334z51d1ug8ucwh3d7	2018
NYJ	32	http://www.sportingnews.com/us/fantasy/football/news/fantasy-football-defense-rankings-2018-cheat-sheet-dst-sleepers-busts-projections-draft-strategy-draft-kit/21vdvmb334z51d1ug8ucwh3d7	2018
OAK	26	http://www.sportingnews.com/us/fantasy/football/news/fantasy-football-defense-rankings-2018-cheat-sheet-dst-sleepers-busts-projections-draft-strategy-draft-kit/21vdvmb334z51d1ug8ucwh3d7	2018
PHI	2	http://www.sportingnews.com/us/fantasy/football/news/fantasy-football-defense-rankings-2018-cheat-sheet-dst-sleepers-busts-projections-draft-strategy-draft-kit/21vdvmb334z51d1ug8ucwh3d7	2018
PIT	9	http://www.sportingnews.com/us/fantasy/football/news/fantasy-football-defense-rankings-2018-cheat-sheet-dst-sleepers-busts-projections-draft-strategy-draft-kit/21vdvmb334z51d1ug8ucwh3d7	2018
SEA	18	http://www.sportingnews.com/us/fantasy/football/news/fantasy-football-defense-rankings-2018-cheat-sheet-dst-sleepers-busts-projections-draft-strategy-draft-kit/21vdvmb334z51d1ug8ucwh3d7	2018
SF	27	http://www.sportingnews.com/us/fantasy/football/news/fantasy-football-defense-rankings-2018-cheat-sheet-dst-sleepers-busts-projections-draft-strategy-draft-kit/21vdvmb334z51d1ug8ucwh3d7	2018
TB	28	http://www.sportingnews.com/us/fantasy/football/news/fantasy-football-defense-rankings-2018-cheat-sheet-dst-sleepers-busts-projections-draft-strategy-draft-kit/21vdvmb334z51d1ug8ucwh3d7	2018
TEN	15	http://www.sportingnews.com/us/fantasy/football/news/fantasy-football-defense-rankings-2018-cheat-sheet-dst-sleepers-busts-projections-draft-strategy-draft-kit/21vdvmb334z51d1ug8ucwh3d7	2018
WAS	20	http://www.sportingnews.com/us/fantasy/football/news/fantasy-football-defense-rankings-2018-cheat-sheet-dst-sleepers-busts-projections-draft-strategy-draft-kit/21vdvmb334z51d1ug8ucwh3d7	2018
